团队名称,团队口号,成员1,成员2,成员3,成员4,成员5,成员6,成员7,棒1圈数,棒1距离,棒1配速,棒2圈数,棒2距离,棒2配速,棒3圈数,棒3距离,棒3配速,总圈数,总距离,平均配速
飞翔队,向前奔跑 永不止步,张三,李四,王五,赵六,钱七,孙八,周九,15,6.2km,"5'30""",18,7.4km,"5'15""",12,4.8km,"5'45""",45,18.4km,"5'30"""
闪电侠,速度与激情,陈一,陈二,陈三,陈四,陈五,陈六,陈七,20,8.0km,"5'10""",16,6.5km,"5'20""",14,5.6km,"5'35""",50,20.1km,"5'21"""
山海行者,以脚步赴山海，以仁心护前行；百里同行，聚力争锋。,林大明,林二明,林三明,周晓燕,周晓霞,周晓云,周晓峰,18,7.2km,"5'25""",22,8.8km,"5'05""",10,4.0km,"5'50""",50,20.0km,"5'22"""
逐风少年,风雨无阻向前冲,王磊,王芳,刘洋,刘梅,赵刚,赵丽,孙超,12,4.8km,"5'45""",20,8.0km,"5'15""",18,7.2km,"5'20""",50,20.0km,"5'26"""
铁人战队,坚持到底就是胜利,吴斌,吴敏,郑勇,郑静,冯伟,冯娟,陈博,16,6.4km,"5'30""",17,6.8km,"5'22""",17,6.8km,"5'28""",50,20.0km,"5'26"""
晨光跑团,每一步都算数,黄晨,黄昊,徐磊,徐敏,朱强,朱丽,胡斌,25,10.0km,"4'55""",13,5.2km,"5'40""",12,4.8km,"5'45""",50,20.0km,"5'18"""
勇者无畏,越跑越有劲,杨峰,杨洁,曹阳,曹静,方磊,方芳,蒋涛,14,5.6km,"5'35""",19,7.6km,"5'10""",17,6.8km,"5'25""",50,20.0km,"5'22"""
奔跑吧少年,今天比昨天更好,邓强,邓敏,许杰,许丽,宋伟,宋玲,韩磊,22,8.8km,"5'05""",15,6.0km,"5'30""",13,5.2km,"5'40""",50,20.0km,"5'20"""
极速先锋,永远比对手快一步,石磊,石静,魏强,魏娟,唐勇,唐丽,任超,10,4.0km,"5'55""",23,9.2km,"5'00""",17,6.8km,"5'25""",50,20.0km,"5'22"""
健步如飞,步步为赢,高飞,高燕,谭明,谭玉,侯勇,侯丽,龙强,17,6.8km,"5'25""",16,6.4km,"5'30""",17,6.8km,"5'25""",50,20.0km,"5'26"""
